item,Сумма,Республика Адыгея (Адыгея),Республика Алтай,Республика Башкортостан - Бирская,Республика Башкортостан - Салаватская,Республика Башкортостан - Стерлитамакская,Республика Башкортостан - Уфимская,Республика Бурятия,Республика Дагестан - Дербентская,Республика Дагестан - Махачкалинская,Республика Ингушетия,Кабардино-Балкарская Республика,Республика Калмыкия,Карачаево-Черкесская Республика,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан) - Московская,Республика Татарстан (Татарстан) - Набережночелнинская,Республика Татарстан (Татарстан) - Нефтяная,Республика Татарстан (Татарстан) - Центральная,Республика Тыва,Удмуртская Республика,Республика Хакасия,Чеченская Республика,Чувашская Республика - Чувашия,Алтайский край,Краснодарский край - Армавирская,Краснодарский край - Каневская,Краснодарский край - Краснодарская,Краснодарский край - Крымская,Краснодарский край - Сочинская,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область - Волгоградская,Волгоградская область - Волжская,Волгоградская область - Михайловская,Вологодская область,Воронежская область - Воронежская,Воронежская область - Павловская,Ивановская область,Иркутская область,Калининградская область,Калужская область,Кемеровская область,Кировская область,Костромская область,Курганская область,Курская область,Ленинградская область,Липецкая область,Магаданская область,Московская область - Дмитровская,Московская область - Истринская,Московская область - Коломенская,Московская область - Люберецкая,Московская область - Ногинская,Московская область - Подольская,Московская область - Серпуховская,Московская область - Химкинская,Мурманская область,Нижегородская область - Арзамасская,Нижегородская область - Кстовская,Нижегородская область - Нижегородская,Нижегородская область - Семеновская,Новгородская область,Новосибирская область,Омская область - Омская,Омская область - Центральная,Оренбургская область - Новотроицкая,Оренбургская область - Оренбургская,Орловская область,Пензенская область,Псковская область,Ростовская область - Волгодонская,Ростовская область - Каменская,Ростовская область - Новочеркасская,Ростовская область - Ростовская,Ростовская область - Таганрогская,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область - Каменск-Уральская,Свердловская область - Нижнетагильская,Свердловская область - Первоуральская,Свердловская область - Серовская,Свердловская область - Центральная,Смоленская область,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Ульяновская область,Челябинская область - Златоустовская,Челябинская область - Калининская,Челябинская область - Кыштымская,Челябинская область - Магнитогорская,Ярославская область,Город Москва - Восточная,Город Москва - Донская,Город Москва - Кунцевская,Город Москва - Люблинская,Город Москва - Медведковская,Город Москва - Тушинская,Город Москва - Царицынская,Город Москва - Центральная,Город Москва - Черемушкинская,Город Москва - Шереметьевская,Город Санкт-Петербург - Восточная,Город Санкт-Петербург - Западная,Город Санкт-Петербург - Северная,Город Санкт-Петербург - Центральная,Город Санкт-Петербург - Южная,Еврейская автономная область,Ненецкий автономный округ,Ханты-Мансийский автономный округ - Югра,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Пермский край,Камчатский край,Забайкальский край,Город Байконур (Республика Казахстан),Территория за пределами РФ
The number of absentee ballots received by the precinct election commission,2173343,1861,2703,18568,10726,9391,17610,18825,4088,4073,1238,2623,6434,1119,7995,18399,25537,17822,13952,12958,14869,9173,11340,17242,1958,20454,8690,4766,46344,21676,10543,13358,21378,15543,20402,37033,28310,17614,19751,12929,14068,23219,18971,12545,18721,14411,8800,9037,23456,18731,21270,15104,48818,9619,21834,46466,31728,11113,16499,19043,22712,8799,1851,13300,14172,14492,14363,13792,14283,14422,13659,11811,16377,11304,11106,12273,8887,48798,22058,17863,7161,7383,16958,18382,11800,14888,14551,14737,17689,13536,17171,39817,55412,6356,11387,12033,14511,11048,18225,15371,11665,24093,17079,28309,27701,36972,12982,28697,10565,9646,19142,16332,17387,15990,17368,16597,17523,17030,19753,15818,15796,16615,14603,14598,13863,14195,4386,429,28340,1061,8172,37495,2417,17963,280,4995
The number of absentee ballots issued to voters at a polling station,1647223,1498,1681,17665,9603,8006,16729,10652,114,229,286,1116,4911,337,3469,15920,23435,13027,9228,8707,7731,4912,5924,9492,1397,15233,7560,986,31996,17964,10398,12897,20614,15529,19645,18906,19110,12258,13866,10338,8322,20851,16019,12290,13132,10518,6957,7078,16030,16237,19952,14445,25708,7851,20159,39458,20156,8339,14602,15106,15874,5041,769,8947,9564,11768,11394,8134,9542,12523,10167,4542,13141,8560,10528,10042,7227,46908,16370,16738,4783,6296,7210,13789,6373,10408,12437,11130,15359,11498,13648,32751,49160,3948,8177,8739,12547,8143,16025,10963,8154,20927,9203,26773,17609,31839,12718,28027,9901,8937,13793,13494,13836,11693,14550,13872,13813,13459,14957,12566,13050,11827,9112,10300,9607,7746,1995,138,13024,349,6269,24204,1245,9933,74,487
The number of voters who voted with absentee ballots at a polling station,1257966,656,1379,6044,4648,4104,14216,7375,8,95,181,546,3091,179,2700,12401,12444,7577,5994,3761,5290,2558,3044,8510,749,10711,4420,393,13829,15671,5736,5113,22862,8853,13067,15478,15122,12871,9839,9230,6430,16833,10843,19482,14838,10951,4691,3823,10942,15760,9319,10650,15226,6829,11023,27263,12282,6349,7839,10383,13845,3582,406,8302,9976,7812,12058,6480,10774,9170,10709,3865,9378,7738,9874,7120,5214,36558,8832,13297,2817,5556,3640,9880,4731,5224,7015,9794,13970,9443,11502,27300,35920,3025,6204,7215,10459,5343,13048,7876,7707,15750,7033,24259,13025,14148,18372,30316,5206,5393,10819,14418,15958,10248,10404,10413,12737,9917,18032,10374,10565,6666,6955,8033,8397,6335,1375,181,12427,310,2698,19520,924,7079,48,4471
The number of canceled unused absentee ballots,525993,363,1022,903,1123,1385,881,8164,3974,3844,951,1507,1523,782,4526,2479,2102,4795,4714,4249,7138,4261,5416,7750,561,5221,1130,3780,14348,3712,145,461,764,14,757,18127,9200,5356,5885,2591,5746,2368,2952,255,5589,3893,1843,1959,7426,2494,1318,659,23110,1766,1675,7008,11572,2774,1897,3937,6838,3757,1082,4353,4606,2724,2966,5658,4740,1877,3492,7269,3236,2744,578,2228,1660,1890,5688,1125,2378,1086,9748,4593,5427,4480,2114,3607,2330,2007,3522,7064,6249,2408,3210,3294,1964,2905,2199,4408,3511,3165,7876,1536,10092,5133,264,670,664,709,5349,2838,3551,4297,2818,2724,3710,3571,4788,3252,2743,4780,5491,4298,4256,6449,2391,291,15316,712,1903,13281,1172,8030,206,4507
The number of absentee ballots issued to voters of the territorial election commission,149716,133,34,3068,1280,515,1168,304,17,19,57,142,181,107,304,2141,697,302,707,804,65,227,290,89,66,222,1295,234,1180,2855,2247,1830,1985,855,5224,967,1016,467,552,1784,466,955,540,10863,4700,136,215,187,745,441,755,1868,780,134,1664,2110,1298,518,422,685,548,262,124,252,281,393,536,304,233,815,350,1226,720,1136,304,458,645,6906,576,71,327,429,171,366,171,420,554,758,436,190,631,3280,4197,293,421,130,263,455,209,453,1758,2766,144,11555,1813,1419,1923,5637,1254,581,291,1669,2003,741,1170,1067,1436,3723,757,748,636,778,139,835,3934,146,37,20,1961,200,1937,459,513,451,9,0
Number of lost absentee ballots,127,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1,22,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,31,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,3,8,0,0,0,0,0,0,0,0,0,10,0,0,0,1
The number of lost ballots,2842,1,2,8,4,1,259,0,0,54,1,1,0,0,0,0,1,6,0,15,0,0,0,0,2,4,5,0,8,8,0,0,20,4,0,28,22,1,0,4,0,0,10,71,23,8,0,5,0,2,1,0,10,229,4,6,3,2,0,0,57,6,0,34,70,38,70,60,34,102,88,14,14,0,0,0,311,0,0,0,62,3,21,5,0,1,5,25,14,3,1,22,337,0,5,2,2,2,0,0,0,1,1,2,0,0,21,34,2,3,3,0,0,0,12,0,1,0,0,0,0,11,37,176,51,48,1,0,6,0,0,164,8,0,0,19
The number of ballots not recorded in obtaining,221,0,0,0,0,0,74,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,24,0,0,1,8,0,27,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Share of Political party JUST RUSSIA,13.25,8.46,10.32,4.79,5.61,3.52,8.07,12.63,0.20,0.18,2.32,0.20,7.18,0.47,20.58,11.47,10.59,1.29,21.82,6.03,4.06,4.35,3.75,10.58,6.71,11.18,13.67,0.18,18.79,16.10,11.10,10.64,11.69,10.92,9.55,15.86,18.16,11.82,14.09,10.28,22.11,14.56,11.58,11.17,21.79,22.94,22.00,20.97,27.15,15.54,13.73,15.60,13.36,13.26,15.61,7.96,19.79,18.58,14.47,14.43,25.30,16.73,11.61,17.50,14.21,16.68,14.41,17.60,15.14,17.58,14.48,19.67,8.05,9.35,14.96,11.14,28.05,12.69,11.15,16.45,15.02,18.50,11.21,8.66,16.41,11.46,13.85,11.65,14.54,14.95,15.08,14.19,10.08,11.77,22.87,24.28,23.99,24.43,27.61,18.60,6.02,19.80,13.41,8.46,7.39,15.62,18.49,18.20,16.20,13.91,22.63,10.90,10.18,10.88,10.77,14.96,15.87,10.54,12.34,13.52,12.47,21.97,21.81,24.21,26.46,23.75,10.53,14.98,13.84,5.40,4.70,16.41,10.06,14.10,11.86,7.08
"Share of Political party ""Liberal Democratic Party of Russia""",11.68,7.75,10.65,4.58,3.76,3.73,8.95,9.47,0.02,0.04,0.41,0.08,4.02,0.28,17.94,11.91,11.72,1.54,8.47,2.23,3.42,2.59,2.66,6.05,2.08,16.59,16.01,0.02,10.67,16.57,11.71,10.99,9.19,10.10,10.34,16.99,18.70,15.31,19.82,20.97,18.16,8.33,9.65,10.64,13.09,12.86,14.11,12.94,15.43,10.58,7.69,14.78,17.34,14.10,14.36,12.34,16.70,15.99,16.88,13.47,14.98,14.40,17.37,13.54,15.28,14.65,12.90,15.89,14.61,14.30,13.79,18.11,9.02,9.41,11.58,13.25,11.48,15.70,13.29,15.40,16.57,17.23,12.24,10.12,13.93,9.43,11.76,8.47,10.59,10.64,15.06,15.72,7.24,15.98,16.16,17.33,15.13,16.90,14.55,14.75,7.09,11.69,17.85,9.21,14.06,12.59,12.41,12.96,10.87,10.97,15.48,8.73,8.56,7.81,10.26,12.51,12.42,9.32,8.01,9.16,8.46,10.37,10.73,10.15,9.74,10.54,15.72,17.53,22.53,11.24,13.63,17.89,18.61,19.18,15.60,7.33
"Share of Political Party ""PATRIOTS OF RUSSIA""",0.97,0.92,0.81,0.50,0.54,0.39,0.75,0.79,0.08,0.17,0.25,0.03,0.64,0.13,0.92,0.94,0.86,0.14,0.78,0.35,0.31,0.34,0.37,0.81,0.31,2.54,1.62,0.07,1.32,0.75,0.97,0.87,1.04,0.88,0.99,0.99,0.86,0.93,1.36,1.73,1.23,0.70,1.03,0.94,1.11,1.35,1.11,0.78,1.27,1.13,0.64,1.20,1.19,2.23,1.38,0.82,1.18,1.04,0.85,1.38,1.19,0.96,1.59,1.31,1.41,1.12,1.40,1.46,1.34,1.24,1.32,1.17,0.70,0.78,1.15,0.84,0.92,1.05,0.90,1.22,0.94,1.14,0.89,0.70,0.90,0.64,0.75,0.73,1.00,0.99,1.17,1.16,0.58,1.19,0.80,0.89,0.99,0.84,1.03,1.14,0.52,1.22,1.33,0.81,0.81,0.99,1.02,1.21,0.77,0.88,1.85,1.19,1.22,1.30,1.42,1.72,1.64,1.23,1.12,1.42,1.22,1.21,1.34,1.13,1.24,1.31,0.93,1.27,1.30,0.87,0.74,1.05,2.23,1.08,1.28,0.80
"Share of Political party ""Communist Party of the Russian Federation""",19.19,18.23,21.55,13.47,16.85,14.09,18.43,24.34,7.44,8.38,2.94,17.63,18.37,8.82,19.26,13.46,20.73,4.54,16.39,21.72,8.34,10.69,9.91,14.42,3.93,19.55,23.63,0.09,20.90,24.71,18.76,17.69,18.38,16.45,16.36,23.60,23.32,18.40,20.49,19.18,20.23,13.26,22.42,23.31,20.78,25.02,22.81,20.63,16.78,29.78,16.33,22.52,27.79,25.54,21.91,10.51,22.68,28.85,19.63,20.71,17.39,22.89,22.75,27.58,25.19,26.29,23.64,27.54,23.86,26.86,24.04,21.76,26.97,31.65,29.63,27.01,19.51,30.25,21.87,30.56,25.59,26.74,31.98,19.83,25.13,18.08,19.82,19.53,22.70,24.36,23.58,23.13,13.80,23.43,15.66,16.52,17.37,15.42,18.99,24.24,16.46,23.23,22.39,15.07,11.74,23.09,16.69,17.26,12.10,12.72,23.99,17.81,16.91,19.25,18.16,21.99,22.97,17.43,20.89,20.05,19.18,15.66,15.82,14.78,15.29,15.09,19.80,24.80,16.10,6.70,6.56,21.02,17.08,18.64,16.31,11.68
"Share of Political party ""Russian United Democratic Party"" Yabloko """,3.43,1.77,1.54,0.86,0.78,0.65,2.80,1.88,0.04,0.06,0.77,0.07,1.43,0.13,6.21,1.51,2.01,0.30,1.66,0.25,1.10,0.67,0.60,2.34,0.52,2.84,2.67,0.05,1.60,2.42,1.69,1.31,2.84,1.54,2.72,3.23,3.11,2.13,3.65,1.88,4.46,1.01,2.08,1.98,3.56,5.73,3.37,1.40,3.46,4.04,0.91,3.48,3.44,5.50,4.12,2.18,2.72,3.03,1.99,2.29,5.02,2.50,3.47,7.42,5.63,4.00,7.23,6.64,5.76,5.19,6.64,4.77,1.36,2.73,5.47,2.32,3.12,4.31,1.81,5.82,1.72,2.98,2.07,2.11,5.10,1.09,1.35,1.85,5.67,4.50,3.08,3.96,1.70,3.42,2.73,3.29,4.92,2.03,8.14,2.87,1.43,3.76,4.66,3.49,2.01,2.28,3.94,6.13,2.08,1.90,4.79,7.69,7.11,7.99,5.87,10.76,12.02,5.10,9.81,10.88,9.35,12.08,10.27,11.30,14.54,9.50,1.91,2.80,2.83,1.71,1.21,4.34,4.11,1.70,2.86,7.04
"Share of Russian political party ""UNITED RUSSIA""",49.31,61.00,53.33,74.55,71.06,76.33,59.32,49.02,91.94,90.97,90.96,81.91,66.10,89.84,32.26,58.81,52.24,91.62,49.16,67.90,81.65,80.35,81.57,63.69,85.29,45.09,40.13,99.48,43.42,37.17,53.57,56.87,54.73,58.08,57.67,36.70,32.99,49.11,38.14,43.54,31.90,60.17,51.16,50.12,37.55,29.74,34.63,41.54,33.40,36.97,59.16,40.12,34.93,37.07,40.42,64.24,34.90,30.74,44.41,45.72,33.03,40.09,41.04,28.67,34.52,33.41,36.90,26.44,35.51,31.15,34.75,32.02,52.24,44.58,35.09,43.74,34.58,33.84,48.61,27.47,38.50,31.42,38.99,56.30,36.65,57.81,50.96,55.64,43.40,42.60,39.79,39.37,64.89,41.91,36.90,33.15,32.52,35.92,25.66,36.23,66.66,38.44,37.51,61.32,62.21,43.56,44.93,41.81,56.04,57.48,29.04,51.08,53.51,50.30,50.95,35.33,32.23,54.02,45.46,42.38,46.81,36.30,37.48,35.91,30.12,37.37,48.11,36.04,41.01,70.32,71.68,36.28,45.25,43.28,48.36,63.91
